Code;Libellé;Médiane du revenu disponible par UC 2017
200000172;CC Faucigny-Glières;24680
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;20850
200000545;CC des Portes de Romilly-sur-Seine;17430
200000628;CC Rhône Lez Provence;18830
200000800;CC Cœur de Sologne;20830
200000925;CC de la Plaine Dijonnaise;22700
200000933;CC Sauldre et Sologne;20010
200004802;CC du Pays de Fayence;22040
200005932;CC des Portes de Sologne;23620
200005957;CC de la Région de Rambervillers;18590
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;21970
200006716;CC du Nogentais;20250
200006930;CC du Haut-Allier;19110
200006971;CC du Perche;20100
200007052;CC de la Marche Berrichonne;18040
200007177;CC Pays de Nérondes;19060
200010650;CA du Grand Dole;20640
200010700;CA Caux Seine Agglo;20700
200011773;CA Annemasse-les Voirons-Agglomération;25320
200011781;CC Portes du Berry entre Loire et Val d'Aubois;19930
200013050;CC Sauer-Pechelbronn;22970
200015162;CC de l'Oriente;17240
200016905;CC du Pays de Lamastre;17880
200017341;CC Lodévois et Larzac;17620
200017846;CA Étampois Sud-Essonne (CCESE);21600
200018083;CC de Desvres-Samer;19400
200018166;CC Le Grésivaudan;25800
200018406;CC du Romorantinais et du Monestois;19880
200018521;CC du Val de Bouzanne;19610
200018653;CA Cap Excellence;N/A
200022986;CC du Grand Pic Saint-Loup;25460
200023075;CC du Pays de Maîche;26050
200023125;CC Les Portes Briardes entre Villes et Forêts;25120
200023240;CC Pays de Nemours;21140
200023299;CC Cœur de Tarentaise;21510
200023307;CA du Grand Villeneuvois;18840
200023372;CC de la Vallée de Chamonix-Mont-Blanc;22450
200023414;Métropole Rouen Normandie;20550
200023620;CC de la Gascogne Toulousaine;24180
200023737;CA du Grand Cahors;20630
200023778;CC du Pays de Saint-Gilles-Croix-de-Vie;21440
200023794;CC de Blaye;19720
200023919;CC Gâtinais Val de Loing;21070
200026573;CC Haut-Jura Saint-Claude;20480
200027027;CC Arc Sud Bretagne;20850
